,File Name,Date,Minimum,Maximum,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile,District,Year,Month,Day,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
100,MOD15A2H_006_Lai_500m_doy2002001_aid0010,2002-01-01,0.1,2.1,0.4376655,0.1916362,0.036724400000000004,0.5,0.8,0.4,0.1,0.3,UDAIPUR,2002,1,1,38959,97378,2.499499473805796
101,MOD15A2H_006_Lai_500m_doy2003001_aid0010,2003-01-01,0.1,2.1,0.3846579,0.15884410000000002,0.0252315,0.5,0.8,0.3,0.1,0.3,UDAIPUR,2003,1,1,16935,38743,2.2877472689695897
102,MOD15A2H_006_Lai_500m_doy2004001_aid0010,2004-01-01,0.1,1.9,0.47485259999999996,0.2463217,0.0606744,0.6,1.0,0.4,0.1,0.3,UDAIPUR,2004,1,1,33804,82623,2.4441782037628683
103,MOD15A2H_006_Lai_500m_doy2005001_aid0010,2005-01-01,0.0,1.7,0.5330629,0.2356132,0.055513599999999996,0.7,1.3,0.5,0.0,0.3,UDAIPUR,2005,1,1,48549,160395,3.3037755669529756
104,MOD15A2H_006_Lai_500m_doy2006001_aid0010,2006-01-01,0.0,2.2,0.5856415,0.2557297,0.0653977,0.7,1.1,0.5,0.0,0.4,UDAIPUR,2006,1,1,67990,148568,2.1851448742462125
105,MOD15A2H_006_Lai_500m_doy2007001_aid0010,2007-01-01,0.0,5.2,0.6424648000000001,0.28988709999999995,0.0840345,0.8,1.2,0.6,0.1,0.5,UDAIPUR,2007,1,1,88904,217207,2.4431634122199224
106,MOD15A2H_006_Lai_500m_doy2008001_aid0010,2008-01-01,0.0,7.0,0.4977298,0.220691,0.048704500000000005,0.6,1.0,0.5,0.0,0.3,UDAIPUR,2008,1,1,79367,184713,2.327327478675016
107,MOD15A2H_006_Lai_500m_doy2009001_aid0010,2009-01-01,0.1,2.3,0.5021137,0.2233989,0.049907099999999996,0.6,1.0,0.5,0.1,0.3,UDAIPUR,2009,1,1,41115,86645,2.107381734160282
108,MOD15A2H_006_Lai_500m_doy2010001_aid0010,2010-01-01,0.1,4.7,0.5361491999999999,0.2587658,0.0669597,0.7,1.3,0.5,0.1,0.3,UDAIPUR,2010,1,1,32201,75366,2.340486320300612
109,MOD15A2H_006_Lai_500m_doy2010001_aid0010,2010-01-01,0.1,4.7,0.5361491999999999,0.2587658,0.0669597,0.7,1.3,0.5,0.1,0.3,UDAIPUR,2010,1,1,32201,75366,2.340486320300612
